row,col,x,y,land surface temperature
397,970,620205.0,3368775.0,321.7809
244,863,616995.0,3373365.0,317.3956
1046,9,591375.0,3349305.0,321.9279
68,245,598455.0,3378645.0,316.55817
1074,1508,636345.0,3348465.0,325.06223
1085,133,595095.0,3348135.0,319.43616
1242,106,594285.0,3343425.0,320.30432
892,748,613545.0,3353925.0,315.5738
826,397,603015.0,3355905.0,316.6949
695,887,617715.0,3359835.0,314.13138
68,1023,621795.0,3378645.0,321.52115
495,1243,628395.0,3365835.0,325.12033
350,797,615015.0,3370185.0,319.83264
1639,1764,644025.0,3331515.0,318.233
1135,1734,643125.0,3346635.0,321.7809
1011,1439,634275.0,3350355.0,316.66754
987,1607,639315.0,3351075.0,315.79596
694,913,618495.0,3359865.0,318.4039
954,1375,632355.0,3352065.0,321.33658
254,373,602295.0,3373065.0,318.43808
1400,962,619965.0,3338685.0,322.3654
378,1608,639345.0,3369345.0,315.34137
1325,459,604875.0,3340935.0,319.7301
847,1171,626235.0,3355275.0,322.4816
220,1725,642855.0,3374085.0,321.85953
1416,1648,640545.0,3338205.0,319.7472
1205,312,600465.0,3344535.0,317.1837
1656,1523,636795.0,3331005.0,325.58176
239,1182,626565.0,3373515.0,323.98212
522,982,620565.0,3365025.0,322.93277
1047,286,599685.0,3349275.0,316.10358
112,1695,641955.0,3377325.0,327.28394
1008,708,612345.0,3350445.0,319.1593
659,1439,634275.0,3360915.0,320.71106
883,295,599955.0,3354195.0,323.6164
1120,501,606135.0,3347085.0,321.46646
693,752,613665.0,3359895.0,313.42728
227,503,606195.0,3373875.0,317.27597
358,1003,621195.0,3369945.0,319.3883
1580,1350,631605.0,3333285.0,325.92014
855,1082,623565.0,3355035.0,325.26047
387,1360,631905.0,3369075.0,323.1823
795,880,617505.0,3356835.0,313.82376
767,1764,644025.0,3357675.0,321.35025
698,99,594075.0,3359745.0,319.2755
616,830,616005.0,3362205.0,314.11087
1539,740,613305.0,3334515.0,319.9181
16,622,609765.0,3380205.0,322.39957
1466,1286,629685.0,3336705.0,322.93277
1171,1351,631635.0,3345555.0,324.48114
285,523,606795.0,3372135.0,315.2901
1453,1718,642645.0,3337095.0,331.2215
1060,321,600735.0,3348885.0,316.46588
268,385,602655.0,3372645.0,314.4219
1488,1736,643185.0,3336045.0,322.60123
1564,453,604695.0,3333765.0,315.70367
1102,314,600525.0,3347625.0,317.09824
1522,766,614085.0,3335025.0,326.0637
1016,1466,635085.0,3350205.0,314.93805
307,1053,622695.0,3371475.0,319.10803
366,1275,629355.0,3369705.0,324.88104
1042,1719,642675.0,3349425.0,315.56012
431,614,609525.0,3367755.0,313.5674
1501,1733,643095.0,3335655.0,320.6598
1406,126,594885.0,3338505.0,315.4063
