row,col,x,y,lst
1662,1013,621495.0,3330825.0,326.43625
1647,995,620955.0,3331275.0,323.36346
1627,1006,621285.0,3331875.0,326.5388
1662,1071,623235.0,3330825.0,322.444
1645,1022,621765.0,3331335.0,325.08957
1645,1029,621975.0,3331335.0,322.11246
1660,969,620175.0,3330885.0,321.10416
1652,1012,621465.0,3331125.0,324.51874
1634,952,619665.0,3331665.0,323.70526
1671,985,620655.0,3330555.0,320.74866
1646,1002,621165.0,3331305.0,324.77167
1647,1026,621885.0,3331275.0,326.58322
1625,994,620925.0,3331935.0,321.79117
1614,967,620115.0,3332265.0,322.62173
661,1039,622275.0,3360855.0,326.83957
655,1038,622245.0,3361035.0,325.46555
650,1022,621765.0,3361185.0,324.23846
651,1034,622125.0,3361155.0,323.0251
677,1009,621375.0,3360375.0,320.7384
1590,1202,627165.0,3332985.0,324.1906
1584,1200,627105.0,3333165.0,325.90988
1551,1225,627855.0,3334155.0,322.3893
1594,1163,625995.0,3332865.0,323.70868
1522,1172,626265.0,3335025.0,325.99533
1586,1234,628125.0,3333105.0,321.77408
1505,1192,626865.0,3335535.0,322.43716
1559,1189,626775.0,3333915.0,322.79605
1576,1217,627615.0,3333405.0,321.4767
1549,1228,627945.0,3334215.0,321.90396
1543,1224,627825.0,3334395.0,320.33167
1528,1198,627045.0,3334845.0,326.46017
1542,1191,626835.0,3334425.0,324.64862
1552,1212,627465.0,3334125.0,321.50064
1566,1251,628635.0,3333705.0,322.03384
1520,1176,626385.0,3335085.0,325.69797
1524,1181,626535.0,3334965.0,326.99338
1597,1234,628125.0,3332775.0,321.77408
1564,1210,627405.0,3333765.0,318.90292
1577,1173,626295.0,3333375.0,325.54416
1585,1220,627705.0,3333135.0,322.01675
1055,1488,635745.0,3349035.0,321.68863
1058,1504,636225.0,3348945.0,317.69296
1118,1542,637365.0,3347145.0,321.97232
1046,1493,635895.0,3349305.0,319.24133
1111,1540,637305.0,3347355.0,321.83902
1062,1508,636345.0,3348825.0,317.15292
1050,1499,636075.0,3349185.0,316.31207
1046,1556,637785.0,3349305.0,316.47272
1143,1498,636045.0,3346395.0,325.21603
1076,1521,636735.0,3348405.0,321.5143
1128,1510,636405.0,3346845.0,321.34
1069,1474,635325.0,3348615.0,316.47614
1129,1517,636615.0,3346815.0,322.89175
1086,1521,636735.0,3348105.0,326.20383
1043,1519,636675.0,3349395.0,320.40002
1043,1540,637305.0,3349395.0,319.64465
1061,1511,636435.0,3348855.0,316.46588
1099,1497,636015.0,3347715.0,319.62073
1075,1473,635295.0,3348435.0,320.45813
1063,1513,636495.0,3348795.0,315.9566
1021,1547,637515.0,3350055.0,316.6778
495,1243,628395.0,3365835.0,325.12033
523,1236,628185.0,3364995.0,323.32245
495,1248,628545.0,3365835.0,324.799
461,1249,628575.0,3366855.0,319.94885
514,1261,628935.0,3365265.0,325.4553
507,1230,628005.0,3365475.0,325.1545
525,1235,628155.0,3364935.0,323.87958
487,1276,629385.0,3366075.0,324.2282
495,1245,628455.0,3365835.0,324.3034
495,1244,628425.0,3365835.0,324.90155
481,1235,628155.0,3366255.0,325.1135
468,1191,626835.0,3366645.0,324.37177
511,1234,628125.0,3365355.0,325.6467
460,1238,628245.0,3366885.0,323.3703
500,1246,628485.0,3365685.0,323.8659
431,1238,628245.0,3367755.0,317.23495
471,1272,629265.0,3366555.0,326.65158
508,1252,628665.0,3365445.0,324.4948
513,1182,626565.0,3365295.0,320.00354
479,1231,628035.0,3366315.0,325.322
463,1244,628425.0,3366795.0,321.0153
1397,993,620895.0,3338775.0,318.88925
1400,962,619965.0,3338685.0,322.3654
1371,957,619815.0,3339555.0,318.88242
1400,948,619545.0,3338685.0,321.96548
1394,975,620355.0,3338865.0,322.67642
1384,921,618735.0,3339165.0,325.42795
820,1193,626895.0,3356085.0,324.07098
813,1189,626775.0,3356295.0,326.6926
833,1222,627765.0,3355695.0,321.2238
810,1231,628035.0,3356385.0,323.07977
839,1173,626295.0,3355515.0,325.52365
879,1203,627195.0,3354315.0,320.8546
1649,1529,636975.0,3331215.0,324.25897
1653,1494,635925.0,3331095.0,326.91135
1623,1531,637035.0,3331995.0,322.75504
1614,1518,636645.0,3332265.0,324.86737
1652,1554,637725.0,3331125.0,321.02554
1654,1554,637725.0,3331065.0,321.2648
1645,1514,636525.0,3331335.0,321.60318
1648,1526,636885.0,3331245.0,323.87616
1641,1534,637125.0,3331455.0,325.0451
1593,1525,636855.0,3332895.0,325.12033
1660,1499,636075.0,3330885.0,328.1692
1593,1517,636615.0,3332895.0,323.62665
1653,1591,638835.0,3331095.0,320.9264
225,1184,626625.0,3373935.0,324.8708
281,1170,626205.0,3372255.0,322.96353
282,1148,625545.0,3372225.0,326.35422
231,1170,626205.0,3373755.0,325.3835
239,1182,626565.0,3373515.0,323.98212
246,1191,626835.0,3373305.0,326.7883
232,1198,627045.0,3373725.0,324.7614
266,1179,626475.0,3372705.0,324.17352
230,1206,627285.0,3373785.0,325.43478
248,1162,625965.0,3373245.0,325.37326
235,1209,627375.0,3373635.0,322.5773
263,1224,627825.0,3372795.0,323.15497
212,1177,626415.0,3374325.0,326.0261
268,1189,626775.0,3372645.0,325.3049
549,913,618495.0,3364215.0,317.17343
486,1011,621435.0,3366105.0,319.67883
570,999,621075.0,3363585.0,316.794
517,982,620565.0,3365175.0,323.049
538,965,620055.0,3364545.0,320.2257
502,938,619245.0,3365625.0,316.77008
554,996,620985.0,3364065.0,319.22766
522,983,620595.0,3365025.0,323.6198
540,965,620055.0,3364485.0,318.26376
148,1641,640335.0,3376245.0,324.7204
137,1634,640125.0,3376575.0,324.65887
98,1667,641115.0,3377745.0,324.25555
173,1695,641955.0,3375495.0,316.86237
100,1686,641685.0,3377685.0,327.51978
118,1701,642135.0,3377145.0,321.9518
96,1720,642705.0,3377805.0,325.5168
52,1723,642795.0,3379125.0,326.36447
114,1695,641955.0,3377265.0,327.02756
164,1719,642675.0,3375765.0,322.67642
116,1737,643215.0,3377205.0,328.74683
165,1715,642555.0,3375735.0,322.88492
117,1655,640755.0,3377175.0,315.03033
144,1686,641685.0,3376365.0,326.15256
129,1753,643695.0,3376815.0,324.11884
82,1742,643365.0,3378225.0,325.84152
113,1632,640065.0,3377295.0,321.92447
113,1744,643425.0,3377295.0,322.673
88,1697,642015.0,3378045.0,326.1218
112,1695,641955.0,3377325.0,327.28394
96,1680,641505.0,3377805.0,326.07394
99,1682,641565.0,3377715.0,326.50803
157,1706,642285.0,3375975.0,321.92447
112,1681,641535.0,3377325.0,326.02267
69,1744,643425.0,3378615.0,326.10812
96,1645,640455.0,3377805.0,323.03876
130,1638,640245.0,3376785.0,323.50702
63,1723,642795.0,3378795.0,326.5422
113,1695,641955.0,3377295.0,327.15405
87,1679,641475.0,3378075.0,324.40936
73,1745,643455.0,3378495.0,325.76633
107,1668,641145.0,3377475.0,325.42795
61,1683,641595.0,3378855.0,326.49435
826,269,599175.0,3355905.0,321.52115
865,261,598935.0,3354735.0,320.48547
876,229,597975.0,3354405.0,316.5274
929,253,598695.0,3352815.0,317.02304
883,289,599775.0,3354195.0,320.8546
889,275,599355.0,3354015.0,319.43958
872,232,598065.0,3354525.0,319.77454
915,310,600405.0,3353235.0,316.4317
855,245,598455.0,3355035.0,317.06747
869,333,601095.0,3354615.0,316.44537
872,317,600615.0,3354525.0,319.07043
826,300,600105.0,3355905.0,317.78867
879,283,599595.0,3354315.0,316.43512
1594,1334,631125.0,3332865.0,325.30832
1571,1397,633015.0,3333555.0,324.11884
1568,1368,632145.0,3333645.0,323.09344
1598,1312,630465.0,3332745.0,325.7424
1607,1330,631005.0,3332475.0,323.3156
1579,1349,631575.0,3333315.0,325.92355
1580,1350,631605.0,3333285.0,325.92014
1584,1305,630255.0,3333165.0,324.16327
1590,1365,632055.0,3332985.0,324.49823
1521,1370,632205.0,3335055.0,325.90305
1619,1304,630225.0,3332115.0,323.46942
1632,1342,631365.0,3331725.0,328.67505
1571,1319,630675.0,3333555.0,324.78534
1598,1361,631935.0,3332745.0,322.91568
1532,1328,630945.0,3334725.0,324.02313
1528,1326,630885.0,3334845.0,323.98553
1583,1356,631785.0,3333195.0,324.30682
1559,1366,632085.0,3333915.0,320.76575
1565,1316,630585.0,3333735.0,323.7531
1576,1346,631485.0,3333405.0,325.84494
1571,1351,631635.0,3333555.0,326.83273
1553,1338,631245.0,3334095.0,325.57834
1582,1300,630105.0,3333225.0,324.8913
1582,1348,631545.0,3333225.0,326.2927
847,1120,624705.0,3355275.0,323.5993
816,1081,623535.0,3356205.0,324.11884
817,1099,624075.0,3356175.0,322.0236
888,1116,624585.0,3354045.0,323.97186
909,1110,624405.0,3353415.0,320.4889
792,1053,622695.0,3356925.0,322.51236
843,1071,623235.0,3355395.0,321.50064
835,1028,621945.0,3355635.0,323.654
831,1076,623385.0,3355755.0,325.31516
797,1043,622395.0,3356775.0,320.11975
830,1072,623265.0,3355785.0,324.54266
822,1134,625125.0,3356025.0,323.4455
849,1086,623685.0,3355215.0,324.51532
912,1067,623115.0,3353325.0,322.34146
860,1082,623565.0,3354885.0,327.6394
801,1058,622845.0,3356655.0,324.36493
835,1066,623085.0,3355635.0,320.93323
855,1081,623535.0,3355035.0,325.14426
831,1023,621795.0,3355755.0,325.09982
868,1107,624315.0,3354645.0,325.36984
879,1096,623985.0,3354315.0,320.42395
860,1143,625395.0,3354885.0,320.46155
