row,col,x,y,land surface temperature,B2_blue,B3_green,B4_red,B5_NIR,B6_SWIR1,B7_SWIR2,B8_pan,B9_cirrus,NDVI,EVI,NDWI
408,1486,635685.0,3368445.0,323.85906982421875,0.28413725,0.2657106,0.32099053,0.6156413,0.5709104,0.33567333,0.12952818,0.0013115089,0.31458548,0.52222484,-0.39703858
430,1497,636015.0,3367785.0,323.42498779296875,0.37907833,0.396569,0.42961997,0.7425219,0.52247465,0.34429193,0.16449434,0.0013559669,0.26694885,0.5295689,-0.30370963
441,1461,634935.0,3367455.0,321.7911682128906,0.24681598,0.23283513,0.19112657,0.73526824,0.38219818,0.16743517,0.10714361,0.0011781352,0.5873755,1.3195692,-0.51898706
441,1394,632925.0,3367455.0,322.7379455566406,0.30010697,0.27571362,0.26606157,0.7039722,0.36164615,0.2184838,0.12365973,0.0014004247,0.45143855,1.043102,-0.4371387
454,1401,633135.0,3367065.0,323.29510498046875,0.32736674,0.30010697,0.30268088,0.49899772,0.2954662,0.17745769,0.18274432,0.0010669903,0.24488223,0.57079965,-0.24889198
471,1450,634605.0,3366555.0,321.7057189941406,0.29285333,0.25997788,0.27173582,0.65688187,0.48246253,0.2701954,0.10458728,0.0013781958,0.414752,0.88263625,-0.432895
198,1620,639705.0,3374745.0,321.4356994628906,0.31870914,0.33485436,0.3384812,0.8630848,0.5118281,0.2913324,0.126016,0.0014671116,0.4365999,0.8722149,-0.4409493
164,1675,641355.0,3375765.0,324.15985107421875,0.38767743,0.4029452,0.47676876,0.9678534,0.5983651,0.40290624,0.16264933,0.0011336772,0.33993986,0.6391385,-0.41210157
111,1633,640095.0,3377355.0,321.6954650878906,0.24277967,0.21979024,0.19896522,0.67501605,0.36722285,0.17722373,0.09738509,0.0014893407,0.5446923,1.1356608,-0.50874233
1247,1202,627165.0,3343275.0,325.8859558105469,0.3078871,0.30823812,0.36111966,0.86109585,0.55577904,0.30919358,0.15189052,0.0012003641,0.40907365,0.72727597,-0.47279716
1272,1221,627735.0,3342525.0,324.32391357421875,0.40212625,0.4375171,0.4572892,0.84266925,0.49868578,0.34780177,0.1729858,0.0014226538,0.29645568,0.6134837,-0.31647903
1255,1151,625635.0,3343035.0,324.47088623046875,0.30063346,0.26962993,0.2606798,0.62693125,0.27093637,0.1518749,0.14851171,0.0013559669,0.41262606,0.97796506,-0.39852422
1390,732,613065.0,3338985.0,324.71014404296875,0.35690784,0.33561483,0.31841663,0.79522794,0.48133156,0.27908698,0.10354252,0.0013337379,0.42815393,1.1585249,-0.40643412
1369,724,612825.0,3339615.0,319.0054931640625,0.21908827,0.17585878,0.13526167,0.5986771,0.19999866,0.0681458,0.07568963,0.0010225323,0.6314089,1.510313,-0.5458989
1389,732,613065.0,3339015.0,324.48797607421875,0.2485124,0.21639739,0.21780132,0.6003735,0.34175706,0.1841264,0.120436534,0.0013337379,0.4675922,0.91670203,-0.4701148
189,1310,630405.0,3375015.0,321.3160705566406,0.2801009,0.26495013,0.24348164,0.8314963,0.4542278,0.22328056,0.098941125,0.0013115089,0.54700166,1.233636,-0.51671124
216,1256,628785.0,3374205.0,325.7731628417969,0.37422305,0.39036828,0.44207987,0.8519703,0.5448986,0.34760678,0.13824193,0.0014226538,0.31675002,0.6035695,-0.37155893
203,1258,628845.0,3374595.0,324.49139404296875,0.40440762,0.3987334,0.43272033,0.70186627,0.54595155,0.42895702,0.1634718,0.0015115696,0.2372194,0.5318539,-0.2754252
583,22,591765.0,3363195.0,318.2535095214844,0.26869395,0.25190523,0.23575999,0.64594287,0.35708335,0.20042762,0.14046483,0.00084470067,0.4652167,0.98101896,-0.4388689
596,45,592455.0,3362805.0,325.9269714355469,0.26255175,0.2333616,0.2292668,0.6799883,0.43944752,0.2377879,0.105921015,0.0011559061,0.49570408,1.0371418,-0.48899847
522,1447,634515.0,3365025.0,318.5337829589844,0.2379244,0.22745337,0.18504286,0.794643,0.36102217,0.14727312,0.10149746,0.001267051,0.6222404,1.3601474,-0.5549277
545,1432,634065.0,3364335.0,318.7183532714844,0.24277967,0.22996877,0.19229652,0.87460876,0.36184114,0.14415327,0.11656869,0.0011336772,0.6395247,1.4126073,-0.58360773
525,1431,634035.0,3364935.0,322.8609924316406,0.28355226,0.2930288,0.28168038,0.93322307,0.5271154,0.25217822,0.1136567,0.0011336772,0.5362917,1.0883254,-0.5220741
