row,col,x,y,land surface temperature
169,1757,643815.0,3375615.0,324.09149169921875
185,1746,643485.0,3375135.0,322.3038635253906
183,1709,642375.0,3375195.0,315.08160400390625
28,1309,630375.0,3379845.0,323.74627685546875
8,1302,630165.0,3380445.0,322.2901916503906
453,1404,633225.0,3367095.0,323.18914794921875
448,1358,631845.0,3367245.0,323.82830810546875
428,1336,631185.0,3367845.0,322.7413635253906
1286,1118,624645.0,3342105.0,322.1363830566406
1313,1119,624675.0,3341295.0,321.4801330566406
1292,1141,625335.0,3341925.0,326.8053894042969
1222,497,606015.0,3344025.0,318.6397399902344
1232,515,606555.0,3343725.0,320.0650634765625
1137,534,607125.0,3346575.0,320.4854736328125
119,1631,640035.0,3377115.0,324.05389404296875
129,1539,637275.0,3376815.0,321.8287658691406
193,1574,638325.0,3374895.0,317.0367126464844
192,1237,628215.0,3374925.0,324.28289794921875
219,1301,630135.0,3374115.0,324.69647216796875
199,1264,629025.0,3374715.0,325.4997253417969
1327,861,616935.0,3340875.0,324.18377685546875
1367,846,616485.0,3339675.0,320.7691650390625
1321,928,618945.0,3341055.0,326.7882995605469
194,1331,631035.0,3374865.0,315.20806884765625
252,1339,631275.0,3373125.0,324.73748779296875
233,1333,631095.0,3373695.0,323.90692138671875
1084,149,595575.0,3348165.0,321.4015197753906
1080,80,593505.0,3348285.0,323.21990966796875
138,1725,642855.0,3376545.0,320.2769775390625
217,1709,642375.0,3374175.0,321.4869689941406
1517,266,599085.0,3335175.0,321.6407775878906
1515,239,598275.0,3335235.0,321.7467346191406
1570,282,599565.0,3333585.0,317.3169860839844
400,899,618075.0,3368685.0,321.8390197753906
340,897,618015.0,3370485.0,321.5553283691406
1520,707,612315.0,3335085.0,324.28973388671875
1497,682,611565.0,3335775.0,323.75653076171875
1462,687,611715.0,3336825.0,325.9167175292969
283,720,612705.0,3372195.0,324.59051513671875
342,759,613875.0,3370425.0,324.18719482421875
285,747,613515.0,3372135.0,322.4542541503906
1217,992,620865.0,3344175.0,326.7917175292969
1163,970,620205.0,3345795.0,324.07781982421875
1191,1016,621585.0,3344955.0,328.340087890625
673,1127,624915.0,3360495.0,324.22479248046875
672,1072,623265.0,3360525.0,324.85369873046875
708,1101,624135.0,3359445.0,328.247802734375
311,1406,633285.0,3371355.0,324.02996826171875
334,1400,633105.0,3370665.0,317.8023376464844
287,1376,632385.0,3372075.0,322.2115783691406
1079,985,620655.0,3348315.0,321.7740783691406
1086,1000,621105.0,3348105.0,318.0245056152344
1089,978,620445.0,3348015.0,325.1100769042969
15,1318,630645.0,3380235.0,323.0148010253906
33,1380,632505.0,3379695.0,321.2579650878906
642,1140,625305.0,3361425.0,324.85028076171875
621,1129,624975.0,3362055.0,324.81951904296875
606,1159,625875.0,3362505.0,323.22332763671875
488,1401,633135.0,3366045.0,320.3760986328125
447,1436,634185.0,3367275.0,320.0889892578125
402,1403,633195.0,3368625.0,322.0406799316406
1226,1113,624495.0,3343905.0,322.9806213378906
1239,1011,621435.0,3343515.0,326.6652526855469
1201,1111,624435.0,3344655.0,322.2901916503906
789,1468,635145.0,3357015.0,319.8804931640625
1611,1044,622425.0,3332355.0,326.0705261230469
1627,1001,621135.0,3331875.0,326.5763854980469
1630,1119,624675.0,3331785.0,324.09149169921875
793,1624,639825.0,3356895.0,316.29840087890625
715,1637,640215.0,3359235.0,321.6954650878906
742,1639,640275.0,3358425.0,324.32049560546875
1020,910,618405.0,3350085.0,320.1573486328125
1453,57,592815.0,3337095.0,318.1680603027344
1431,110,594405.0,3337755.0,317.7339782714844
1530,1598,639045.0,3334785.0,327.400146484375
1526,1578,638445.0,3334905.0,322.5397033691406
1477,1547,637515.0,3336375.0,322.2184143066406
1516,1559,637875.0,3335205.0,324.10174560546875
1521,1547,637515.0,3335055.0,320.9332275390625
1585,1566,638085.0,3333135.0,321.0289611816406
269,723,612795.0,3372615.0,321.7774963378906
314,807,615315.0,3371265.0,321.7091369628906
312,769,614175.0,3371325.0,323.19598388671875
1338,1235,628155.0,3340545.0,327.526611328125
